Timestamp,Safety State,Face Orientation,Left Hand Zone,Right Hand Zone,Hands in Zone,Total Hands
2026-04-11 12:22:17,WARNING,No Face,DANGER ZONE,Not Detected,0,1
2026-04-11 12:22:22,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:22:28,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:22:33,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:22:38,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:22:43,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:22:48,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:22:53,WARNING,No Face,Outside Safe Zone,Not Detected,0,1
2026-04-11 12:22:58,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:03,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:08,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:13,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:18,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:23,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:28,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:33,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:38,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:43,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:49,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:23:54,WARNING,No Face,DANGER ZONE,Not Detected,0,1
2026-04-11 12:23:59,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:04,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:09,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:14,WARNING,No Face,Not Detected,DANGER ZONE,0,1
2026-04-11 12:24:19,WARNING,No Face,HAND ZONE,HAND ZONE,0,2
2026-04-11 12:24:24,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:29,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:34,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:39,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:44,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:49,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:54,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:24:59,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:05,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:10,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:15,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:20,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:25,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:35,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:40,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:45,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:50,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:25:55,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:00,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:05,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:10,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:15,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:21,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:26,WARNING,No Face,Not Detected,Not Detected,0,0
2026-04-11 12:26:31,WARNING,No Face,Not Detected,Not Detected,0,0
